Model,Test_MAE,Test_RMSE,Test_R2
Linear Regression,0.5517297806142081,0.6874575798803826,0.8187137020360974
Random Forest,0.5671312500000016,0.7203892941493516,0.8009291500134399
Tuned Random Forest,0.5648005707514225,0.7073238525898349,0.808084620932646
